path,sizeBytes,sha256,extension,mime,lineCount,category,packageAction,reason
plugins/kh-aw/references/RUNBOOK.md,4441,1fd05eb383a513281139e69f86e5c06c21d8d16c094f90e579d2f7e4f788ceee,.md,text/markdown,90,project-file,review,Accounted for in the complete inventory.
plugins/kh-aw/references/workflows/audit-upgrade.md,1904,d7c1a6255672ef6fd031a072dbd2b9e9889bc5455ccf75b755060c5a17e62b3a,.md,text/markdown,20,project-file,review,Accounted for in the complete inventory.
plugins/kh-aw/references/workflows/full-cycle.md,5215,637a44acfa85fc8ed226ba57b7c7c16604ef4c41518fa363fc3f5e43dd5e00da,.md,text/markdown,94,project-file,review,Accounted for in the complete inventory.
plugins/kh-aw/references/workflows/implementation-repair.md,2074,29f41a3186ca00be0caa4e5b0af3490f0bfb7be7b5eed17fad33e590d7630f8d,.md,text/markdown,17,project-file,review,Accounted for in the complete inventory.
plugins/kh-aw/references/workflows/multi-agent-orchestration.md,6198,35b446765c5c12d283c42021dd52154b489a607e9ffc1290af9f9ad0c39ffcc6,.md,text/markdown,163,project-file,review,Accounted for in the complete inventory.
plugins/kh-aw/references/workflows/release-company.md,2645,8915b921fe2a22a6dfe8fe594efacc0043d132aec1f97512876f8e4170a51384,.md,text/markdown,30,project-file,review,Accounted for in the complete inventory.
plugins/kh-aw/references/workflows/research-design.md,2433,bbfe1eff8fd4fc55cc054f62d8efa4ed0dab9ed747f0eae43e62e1a6025c15bc,.md,text/markdown,31,project-file,review,Accounted for in the complete inventory.
plugins/kh-aw/schemas/native-capability-policy.schema.json,2656,60eacc5da305fa44c8576b287c51cd2972dcd3efae94ad69ea57409058225c7b,.json,application/json,74,project-file,review,Accounted for in the complete inventory.
plugins/kh-aw/schemas/physical-evidence.schema.json,1154,1c7e9cac9858a9f3a1142da677a741480705f22e724df902764662a87e698adc,.json,application/json,24,project-file,review,Accounted for in the complete inventory.
plugins/kh-aw/schemas/run-lock.schema.json,1543,b9498d57fa0251de3676d0342215c0df35206cc574f3cf31996b052deadd3957,.json,application/json,74,project-file,review,Accounted for in the complete inventory.
plugins/kh-aw/schemas/subagent-orchestration.schema.json,3597,bef7d1d2fb24660656e31f24d65d36098818684fe8a30385ece88b061ce53277,.json,application/json,160,project-file,review,Accounted for in the complete inventory.
plugins/kh-aw/schemas/test-report.schema.json,1344,916a844f21d058d7adbb4f2f144af2ac7e90aea53bcda5c9f52d4731e2cf68a5,.json,application/json,25,project-file,review,Accounted for in the complete inventory.
plugins/kh-aw/schemas/tool-policy.schema.json,1217,ffd13d43599e4b5c62b99e0fa669a08f7ca7b0be07b2f1115a8a657164897aa8,.json,application/json,34,project-file,review,Accounted for in the complete inventory.
plugins/kh-aw/scripts/android_emulator_suite.py,5027,4930281d94d8177474f8b678ae98b163e28b2573a7441b24e4541f7db4dffa06,.py,text/x-python,102,project-file,review,Accounted for in the complete inventory.
plugins/kh-aw/scripts/ios_simulator_suite.py,2104,0ddd6d0bb6a0f3afb999ec9cf8be1753699596698dcfe306020ca34c8a3af9a0,.py,text/x-python,27,project-file,review,Accounted for in the complete inventory.
plugins/kh-aw/scripts/kh_aw/__init__.py,66,e1bc6a59e1db0e21be28ac2c10f6fe2cfa127926c21102636f463e73268d5eef,.py,text/x-python,2,project-file,review,Accounted for in the complete inventory.
